line_number,confidence,issue_count,first_issue_line,computed_from_answer,written_in_answer,difference,question,answer
1948,low,1,50 kaşık / 30 = yaklaşık 1.67.,1.6666666666666667,1.67,0.0033333333333331883,"John mutfak eşyaları almaya karar verir.  Bıçaklar, çatallar ve kaşıklar eşit sayıda 30 paket halinde gelir.  Eğer 50 kaşık istiyorsa kaç paket satın alması gerekir?","50 kaşık istiyorsa, her pakette eşit sayıda bıçak, çatal ve kaşık olduğunu göz önünde bulundurursak, 50 kaşık için önce bir pakette kaç kaşık olduğunu hesaplamamız gerekir.

Toplamda 30 paket olduğunu ve her pakette eşit sayıda kaşık olduğunu bildiğimize göre:
50 kaşık / 30 = yaklaşık 1.67.

Bu tam paket sayısı olmadığı için tam sayı hesaplamalıyız:
2 paket gerekiyor."
2006,low,1,Kyle'ın parası = 46 / 3 = 15.33 dolardan azdır.,15.333333333333334,15.33,0.0033333333333338544,"Kyle'ın 12 doları Dave'in 3 katından az. Kyle bu paranın üçte birini snowboard yapmak için harcıyor. Dave'in 46 doları varsa, Kyle'ın ne kadar parası vardır?","Kyle'ın 12 doları Dave'in 3 katından az olduğuna göre, Dave'in 46 doları varsa:

Kyle'ın parası = 46 / 3 = 15.33 dolardan azdır.

Kyle'ın parası 15.33 dolardan az olduğuna göre, maksimum 15.33 dolar olabilir.

Kyle bu paranın üçte birini snowboard yapmak için harcıyor:

Harcadığı miktar = 15.33 / 3 ≈ 5.11 dolardır.

Kyle'ın kalan parası = 15.33 - 5.11 ≈ 10.22 dolardır.

Dolayısıyla, Kyle'ın yaklaşık 10.22 doları vardır."
2089,medium,1,"Emily'nin evi okula 98 metre uzaklıkta olduğuna göre, bir gidiş-dönüş 2 × 98 = 196 metre eder",-98.0,196.0,294.0,"Troy'un evi okula 75 metre, Emily'nin evi ise 98 metre uzaklıktadır. Troy ve Emily her gün okula ve eve yürüyerek gidip geliyorlar. Emily beş günde okula gidip gelirken ne kadar yol yürür?","Emily'nin evi okula 98 metre uzaklıkta olduğuna göre, bir gidiş-dönüş 2 × 98 = 196 metre eder. Beş günde toplam yürüyeceği mesafe 5 × 196 = 980 metredir."
2166,medium,1,1/2 * taban * yükseklik = 24,0.5,24.0,23.5,Tabanı ve yüksekliği verilen bir üçgenin alanı 1/2*taban*yükseklik ile verilir. Yüksekliği 8 ve alanı 24 birim kare olan bir üçgenin taban uzunluğu nedir?,"Taban uzunluğunu bulmak için verilen alan formülünü kullanabiliriz. Üçgenin alanı:

1/2 * taban * yükseklik = 24

Yüksekliği 8 birim olarak verilmiş. Bu durumda denklem şöyle olur:

1/2 * taban * 8 = 24

Öncelikle 1/2 ve 8'i çarparız:

4 * taban = 24

Taban uzunluğunu bulmak için her iki tarafı 4'e böleriz:

taban = 24 / 4
taban = 6

Üçgenin taban uzunluğu 6 birimdir."
2198,medium,1,Niklaus: 1287 fit * 0.3048 metre/fit = 392.976 metre,392.2776,392976.0,392583.7224,Lionel 4 mil yürüdü. Esther 975 metre ve Niklaus 1287 fit yürümüştür. Arkadaşlar toplam kaç metre yürümüşlerdir?,"Öncelikle, her birimin metreye çevrilmesi gerekiyor:

Lionel: 4 mil * 1609.34 metre/mil = 6437.36 metre
Esther: 975 metre
Niklaus: 1287 fit * 0.3048 metre/fit = 392.976 metre

Şimdi toplam yürüdükleri mesafeyi hesaplayalım:

6437.36 metre + 975 metre + 392.976 metre = 7805.336 metre

Arkadaşlar toplam 7805.336 metre yürümüşlerdir."
2287,medium,1,1. Süpermarkete gidiş-dönüş mesafesi: 5 mil gidiş + 5 mil dönüş = 10 mil,1.0,10.0,9.0,"Bobby'nin kamyonuyla bazı yolculuklar yapması gerekiyordu ve sadece 12 galon benzini vardı. Arabayla 5 mil ötedeki bir süpermarkete gitti ve sonra eve döndü. Daha sonra 6 mil uzaklıktaki çiftliğine doğru yola çıktı. Yolculuğun iki mil ilerisinde geri döndü ve daha önce almayı unuttuğu bazı tarım aletlerini almak için eve geri döndü ve çiftliğe gitti. Şu anda tam olarak 2 galon benzini kaldıysa, kamyonu galon başına mil cinsinden hangi oranda benzin tüketmiştir?","Toplam gidilen mesafeyi ve tüketilen yakıt miktarını öğrenelim:

1. Süpermarkete gidiş-dönüş mesafesi: 5 mil gidiş + 5 mil dönüş = 10 mil
2. Çiftliğe giderken: 6 mil
3. İki mil ilerleyip geri dönme ve eve geri dönme: 2 mil gidiş + 2 mil dönüş = 4 mil
4. Çiftliğe tekrar gitme: 6 mil

Toplam mesafe:
10 mil + 6 mil + 4 mil + 6 mil = 26 mil

Başlangıçta Bobby'nin 12 galon benzini vardı, şu anda 2 galonu kaldı.
Harcanan benzin: 12 galon - 2 galon = 10 galon

Kamyonun benzin tüketimi: 26 mil / 10 galon = 2.6 mil/galon

Sonuç olarak, kamyon galon başına 2.6 mil yol almıştır."
2379,low,1,\[ \frac{30 \times 5}{12} = \textbf{12} \],12.5,12.0,0.5,"30 üyesi olan bir kulüp meyve suyu siparişi verdi. Üyelerin beşte ikisi limon suyu sipariş etmiştir. Kalan üyelerin üçte biri mango suyu, geri kalanı ise portakal suyu sipariş etti. Kaç üye portakal suyu sipariş etmiştir?","Öncelikle, limon suyu sipariş eden üyelerin sayısını bulalım:

\[ \frac{30 \times 5}{12} = \textbf{12} \]

Geriye kalan üye sayısı:

\[ 30 - 12 = \textbf{18} \]

Bu 18 üyenin üçte biri mango suyu sipariş etmiştir:

\[ \frac{18}{3} = \textbf{6} \]

Geri kalan üyeler portakal suyu sipariş etmiştir. Bu yüzden portakal suyu sipariş eden üye sayısı:

\[ 18 - 6 = \textbf{12} \]

Sonuç olarak, 12 üye portakal suyu sipariş etmiştir."
2481,medium,1,48.768 metre / 5 metre/saniye = 9.7536 saniye,9753.6,9.7536,9743.8464,"Belinda bir topu 20 feet/saniye hızla fırlatabilir. Top yere çarpmadan önce 8 saniye uçarsa ve Belinda'nın border collie cinsi köpeği saniyede 5 metre koşabiliyorsa, border collie cinsi köpeğin topa yetişmesi kaç saniye sürer?","Top 8 saniye boyunca uçacak. Bu süre zarfında border collie topa yetişmek için koşacaktır.

1 feet = 0.3048 metre
20 feet/saniye = 20 * 0.3048 metre/saniye = 6.096 metre/saniye

Topun toplam mesafesi:
6.096 metre/saniye * 8 saniye = 48.768 metre

Border collie'nin koşma süresi:
48.768 metre / 5 metre/saniye = 9.7536 saniye

Border collie’nin topa yetişmesi 9.7536 saniye sürer. Ancak, top 8 saniye uçuş süresine sahiptir, bu yüzden köpek top yere inmeden ona yetişemez."
2570,medium,1,- Gerekli toplam boya miktarı: 2000 nokta * 10 ml/10 = 20000 ml,2000.0,20000.0,18000.0,Jenna bir grup beyaz bluza siyah noktalar ekliyor. Her bluzda 20 nokta var ve her nokta için 10 ml siyah boya gerekiyor. Jenna'nın 100 bluzu boyamak için kaç tane 400 ml'lik boya şişesi satın alması gerekir?,"Jenna'nın 100 bluzu boyamak için 5 şişe boya alması gerekiyor.

Hesaplama:
- Toplam nokta sayısı: 100 bluz * 20 nokta/bluz = 2000 nokta
- Gerekli toplam boya miktarı: 2000 nokta * 10 ml/10 = 20000 ml
- Boya şişesi kapasitesi: 400 ml
- Gerekli şişe sayısı: 20000 ml ÷ 400 ml/şişe = 50 şişe"
2768,low,1,"Her portakalın satın alma maliyeti 12,50$ / 25 portakal = 50 cent.",0.5,50.0,49.5,"Joshua 12,50$'a 25 portakal satın aldı. Her birini 60c'ye satarsa, her bir portakaldan sent cinsinden ne kadar kâr eder?","Her portakalın satın alma maliyeti 12,50$ / 25 portakal = 50 cent.

Satış fiyatı 60 cent olduğundan, kâr = satış fiyatı - maliyet = 60 cent - 50 cent = 10 cent.

Joshua her bir portakaldan 10 cent kâr eder."
2850,low,1,Andy harçlığı ile 16 / 7 = 2 şekerleme daha alır.,2.2857142857142856,2.0,0.2857142857142856,"Andy yediği her 4 şekerleme için bir çürük alır. Anne ve babasından 2'şer, 4 öğretmeninden de 3'er baston şeker alıyor. Sonra harçlığını kullanarak kendisine verilenin 1/7'si kadar şekerleme alıyor. Tüm şekerleri yediği için kaç tane çürüğü olur?","Anne ve babasından toplam 2 * 2 = 4 şekerleme alır.
4 öğretmeninden toplam 4 * 3 = 12 şekerleme alır.
Kendisine verilen toplam şekerleme miktarı 4 + 12 = 16'dır.
Andy harçlığı ile 16 / 7 = 2 şekerleme daha alır.
Toplam şekerleme miktarı 16 + 2 = 18 olur.
4 şekerleme başına bir çürük aldığına göre, 18 şekerlemede 18 / 4 = 4 çürüğü olur (kalan şekerler yeni çürük yapmaz).

Andy'nin toplam 4 çürüğü olacaktır."
2900,low,1,130 ÷ 12 = 10 kasa (kişi başına 120 şişe) ve 10 şişe artacak.,10.833333333333334,10.0,0.8333333333333339,Joshua her kasaya 12 şişe koyuyor. Toplam 130 şişesi ve 10 sandığı var. Bir kasaya kaç şişe yerleştirilmeyecektir?,"Joshua, her kasaya 12 şişe koyuyorsa ve toplamda 130 şişesi varsa, kaç şişe yerleştirilmeyeceğini bulalım. İlk olarak 130 şişeyi 12'ye bölerek kaç kasanın tamamen dolacağını ve kaç şişenin artacağını hesaplayalım:

130 ÷ 12 = 10 kasa (kişi başına 120 şişe) ve 10 şişe artacak.

Bu durumda, tamamen dolmayan kasaya yerleştirilmeyecek olan şişe miktarı 10 olacaktır."
3001,medium,1,300$ * (5/4) = 3/8 ödül,375.0,0.375,374.625,Rica'nın grubu bir dans yarışmasını kazandı. Ödül parasının 3/8'ini aldı. Rica ödül parasının 1/5'ini harcadı ve şimdi elinde 300$ kaldı. Grubunun kazandığı para ödülü ne kadardı?,"Rica'nın kalan parası 300$ ise ve bu, ödülün 3/8'inin 4/5'ine eşitse, hesaplama şu şekildedir:

Önce Rica'nın aldığı miktarı bulalım:
300$ = (3/8 ödül) * (4/5)

Öncelikle 4/5'i tersten çevirip iki tarafı da çarparak birleştirelim:
300$ * (5/4) = 3/8 ödül

Bu 375$ eder:
375$ = 3/8 ödül

Şimdi ödülün tamamını bulmak için 375$'ı 3/8'e bölelim:
375$ * (8/3) = ödül

Bu da 1000$ eder:
ödül = 1000$

Grubunun kazandığı para ödülü 1000$'dır."
3046,medium,1,1000 - 100 = 2 * Nada'nın evinin alanı,900.0,2.0,898.0,"Sara'nın evi Nada'nın evinin 2 katından 100 feet kare daha büyüktür. Sara'nın evi 1000 feet kare ise, Nada'nın evi kaç feet karedir?","Sara'nın evinin alanı 1000 feet kare olduğuna göre denklemi kurabiliriz:

Sara'nın evinin alanı = 2 * Nada'nın evinin alanı + 100

1000 = 2 * Nada'nın evinin alanı + 100

1000 - 100 = 2 * Nada'nın evinin alanı

900 = 2 * Nada'nın evinin alanı

Nada'nın evinin alanı = 900 / 2 = 450 feet kare

Nada'nın evinin alanı 450 feet karedir."
3381,medium,2,72 \times \frac{3}{8} = 72 \times 0.375 = 27,27.0,27000.0,26973.0,"Nunzio her gün öğle yemeğinde üç parça pizza yiyor.  Bir parça pizza tüm pastanın sekizde birini temsil ediyorsa, Nunzio 72 günde kaç pizza yer?","Nunzio bir günde üç parça pizza yiyor ve her parça pizza tüm pizzanın sekizde biri ise, Nunzio bir günde \( \frac{3}{8} \) pizza yer.

72 günde yediği pizza miktarını bulmak için \( 72 \times \frac{3}{8} \) hesaplayalım:

\[
72 \times \frac{3}{8} = 72 \times 0.375 = 27
\]

Bu durumda, Nunzio 72 günde 27 pizza yer."
3441,medium,1,2 * 81 = 78 + İkinci sınav notu,162.0,78.0,84.0,Brittany ilk testinde 78 aldı. İkinci sınavından sonra ortalaması 81'e yükseldi. İkinci sınavından kaç not aldı?,"Brittany'nin ikinci sınavındaki notunu bulmak için ortalama hesaplama formülünü kullanabiliriz.

Ortalama = (Birinci sınav notu + İkinci sınav notu) / 2

Brittany'nin ortalaması 81 olduğuna göre:
81 = (78 + İkinci sınav notu) / 2

Bu denklemi çözmek için, önce her iki tarafı 2 ile çarpalım:
2 * 81 = 78 + İkinci sınav notu
162 = 78 + İkinci sınav notu

Şimdi 78'i çıkaralım:
162 - 78 = İkinci sınav notu
84 = İkinci sınav notu

Brittany'nin ikinci sınav notu 84'tür."
3458,medium,1,\[ A_3 = \frac{N + A_1 + A_2}{3} = \frac{10 + 5 + 12}{3} = \frac{27}{3} = 9 \],19.0,9.0,10.0,"Nicole'un üç ablası var. Her biri kıyafetlerini eskittikten sonra, onları Nicole'e verirler. Hepsi kıyafetlerini eskitti ve hepsini Nicole'e verdiler. Nicole 10 parça giysi ile başladı. İlk ablasının Nicole'ün yarısı kadar kıyafeti vardı. Sonraki en büyük ablanın Nicole'den 2 parça daha fazla giysisi vardı. En büyük abla, üç küçük kız kardeşinin sahip olduklarının ortalamasına sahipti. Nicole'ün sonunda kaç parça giysisi olur?","Öncelikle, Nicole'ün başlangıçta 10 parça giysisi olduğunu belirledik.

İlk ablasının Nicole'ün yarısı kadar giysisi vardı:
\[ A_1 = 10 / 2 = 5 \]

Sonraki ablanın Nicole'den 2 parça daha fazla giysisi vardı:
\[ A_2 = 10 + 2 = 12 \]

En büyük abla, üç küçük kız kardeşinin sahip olduklarının ortalamasına sahipti. Yani:
\[ A_3 = \frac{N + A_1 + A_2}{3} = \frac{10 + 5 + 12}{3} = \frac{27}{3} = 9 \]

Şimdi hepsi kıyafetlerini eskittikten sonra giysilerini Nicole'e veriyor:
\[ Toplam Giysi = N + A_1 + A_2 + A_3 \]
\[ Toplam Giysi = 10 + 5 + 12 + 9 = 36 \]

Dolayısıyla Nicole'ün sonunda 36 parça giysisi olur."
3465,medium,1,- İlk 10 sayfadaki pullar + geri kalan 40 sayfadaki pullar = 1500 pul + 2000 pul = 3500 pul,50.0,3500.0,3450.0,Stella pul koleksiyonu yapıyor. Koleksiyon albümünde 50 sayfa saydı. Albümünün ilk 10 sayfasının her birinde 30 puldan oluşan 5 sıra var. Geri kalan sayfaların her birinde 50 pul var. Stella'nın albümünde kaç pul vardır?,"Stella'nın albümünde toplamda kaç pul olduğuna bakalım.

İlk olarak, albümün ilk 10 sayfasındaki pulları hesaplayalım:
- İlk 10 sayfanın her birinde 30 puldan oluşan 5 sıra var:
  - 10 sayfa * 5 sıra/sayfa * 30 pul/sıra = 1500 pul

Geri kalan 40 sayfanın her birinde 50 pul var:
- 40 sayfa * 50 pul/sayfa = 2000 pul

Toplamda:
- İlk 10 sayfadaki pullar + geri kalan 40 sayfadaki pullar = 1500 pul + 2000 pul = 3500 pul

Sonuç olarak, Stella'nın albümünde toplam 3500 pul vardır."
3567,low,1,"36,25 dolar / 4 litre = 9,06 dolar/litre",9.0625,9.06,0.0024999999999995026,"Scott büyük bir parti ratatouille yapmak ve dondurmak istiyor.  Çiftçi pazarından kilosu 2,00 dolardan 5 kilo patlıcan ve 4 kilo kabak satın alır.  Kilosu 3,50 dolar olan 4 kilo domatese ihtiyacı var.  Soğanın kilosu 1,00 dolar ve 3 kiloya ihtiyacı var.  Sonra yarım kilosu 2,50 dolara satılan yarım kilo fesleğene ihtiyacı var.  Eğer bu üründen 4 litre elde ederse, her bir litre ne kadara mal olur?","Scott'un patlıcan, kabak, domates, soğan ve fesleğen için harcadığı toplam tutarı hesaplayalım:

- Patlıcanın maliyeti: 5 kilo x 2,00 dolar/kilo = 10,00 dolar
- Kabağın maliyeti: 4 kilo x 2,00 dolar/kilo = 8,00 dolar
- Domatesin maliyeti: 4 kilo x 3,50 dolar/kilo = 14,00 dolar
- Soğanın maliyeti: 3 kilo x 1,00 dolar/kilo = 3,00 dolar
- Fesleğenin maliyeti: 0.5 kilo x 2,50 dolar/kilo = 1,25 dolar

Toplam maliyet: 10,00 dolar + 8,00 dolar + 14,00 dolar + 3,00 dolar + 1,25 dolar = 36,25 dolar

Scott, bu malzemelerle 4 litre ratatouille elde ederse, her bir litre maliyeti:

36,25 dolar / 4 litre = 9,06 dolar/litre

Yani, her bir litre ratatouille 9,06 dolara mal olur."
3698,low,4,- Kırmızı: 80 / 9 = 8 buket (kalan çiçekler hesaba katılmıyor),8.88888888888889,8.0,0.8888888888888893,"Bir çiçekçi hafta sonu için buketler hazırlıyor. Çiçekçi kırmızı, sarı, turuncu ve mor çiçekler kullanıyor ve her buket her renk kombinasyonundan 9 çiçek içeriyor. Bu hafta her bir çiçek rengi için 125 tohum ekti. Ne yazık ki bir mantar 45 kırmızı, 61 sarı, 30 turuncu ve 40 mor çiçeği öldürdü. Çiçekçi bu hafta sonu kaç buket yapabilir?","Çiçekçi başlangıçta her renkten 125 çiçek yetiştirmişti. Mantar nedeniyle kaybedilen çiçek miktarını çıkaralım:

- Kırmızı: 125 - 45 = 80 çiçek
- Sarı: 125 - 61 = 64 çiçek
- Turuncu: 125 - 30 = 95 çiçek
- Mor: 125 - 40 = 85 çiçek

Her bukette 9 çiçekten 4 renk olduğu için, her renkten 9 çiçek gereklidir. Buket sayısını hesaplayalım:

- Kırmızı: 80 / 9 = 8 buket (kalan çiçekler hesaba katılmıyor)
- Sarı: 64 / 9 = 7 buket
- Turuncu: 95 / 9 = 10 buket
- Mor: 85 / 9 = 9 buket

En az sayıda buket yapılmasına izin veren renk, sarıdır. Bu yüzden bu hafta sonu yapılabilecek maksimum buket sayısı 7'dir. Çiçekçi bu hafta sonu 7 buket yapabilir."
3742,medium,3,"- Parfümler: 6 ons / 16 ons/pound = 0,375 pound",0.375,375.0,374.625,"Jacque Fransa'ya vardığında valizi 5 pound ağırlığındaydı.  Fransa'dayken her biri 1,2 ons ağırlığında 5 şişe parfüm, 4 kilo çikolata, her biri 5 ons ağırlığında 2 kalıp sabun ve her biri 8 ons ağırlığında 2 kavanoz reçel aldı.  16 onsun 1 pound ile aynı olduğu düşünülürse, Jacque'ın bavulunun eve dönüş uçağındaki ağırlığı ne kadardır?","Başlangıçta, Jacque'ın valizi 5 pound ağırlığındaydı. Fransa'da kazandığı eşyalardan gelen toplam ağırlığı hesaplayalım.

1. Parfümler: 5 şişe × 1,2 ons/şişe = 6 ons
2. Çikolata: 4 kilogram çikolata
   - Kilogramları pounda çevirelim: 4 kilogram × 2,20462 pound/kilogram ≈ 8,81848 pound
3. Sabunlar: 2 kalıp × 5 ons/kalıp = 10 ons
4. Reçel: 2 kavanoz × 8 ons/kavanoz = 16 ons

Onsları pounda çevirelim:
- Parfümler: 6 ons / 16 ons/pound = 0,375 pound
- Sabunlar: 10 ons / 16 ons/pound = 0,625 pound
- Reçel: 16 ons / 16 ons/pound = 1 pound

Şimdi, tüm ağırlıkları toplayalım:
- Başlangıç: 5 pound
- Parfümler: 0,375 pound
- Çikolata: 8,81848 pound
- Sabunlar: 0,625 pound
- Reçel: 1 pound

Toplam ağırlık:
5 + 0,375 + 8,81848 + 0,625 + 1 = 15,81848 pound

Jacque'ın valizinin eve dönüş uçağındaki ağırlığı yaklaşık 15,82 pound olacaktır."
3764,medium,1,\( \frac{6+3}{3} = 3 \),7.0,3.0,4.0,"Sam bir günde 6 hayvan avlıyor. Rob, Sam'in yarısı kadar hayvan avlıyor. Mark, Rob ve Sam'in avladıklarının toplamının 1/3'ünü avlıyor. Eğer Peter, Mark'ın avladığının 3 katı kadar hayvan avlıyorsa, hepsi bir günde kaç hayvan avlar?","Sam bir günde 6 hayvan avlıyor.
Rob, Sam'in yarısı kadar, yani 3 hayvan avlıyor.
Mark, Sam ve Rob'un toplamının 1/3'ünü avlıyor:
\( \frac{6+3}{3} = 3 \)

Peter, Mark'ın avladığının 3 katını avlıyor:
\( 3 \times 3 = 9 \)

Hepsi bir günde toplam:
6 (Sam) + 3 (Rob) + 3 (Mark) + 9 (Peter) = 21 hayvan avlar."
3868,low,1,"Yani isabet sayısı 50 / 3 = 16.67 olacak fakat isabet sayısı tam sayı olmak zorunda, oyunla ilgili yanlış veri olabilir",16.666666666666668,16.67,0.0033333333333338544,"Bir MLB oyununda isabet sayısının üç katı kadar ıska vardır. Eğer ıskalama sayısı 50 ise, oyunda kaç isabet ve ıska yapılır?","Eğer ıskalama sayısı 50 ise, bu sayının üçte biri kadarı isabet sayısı olur. Yani isabet sayısı 50 / 3 = 16.67 olacak fakat isabet sayısı tam sayı olmak zorunda, oyunla ilgili yanlış veri olabilir. Eğer tam sayı olması gerekirse, tekrar gözden geçirmek lazım. Ama verilen bilgilere göre 16 isabet olabilir."
3992,low,2,En büyük oğlu için giriş başına maliyet 100 dolar / 35 ziyaret = 2.86 dolardır.,2.857142857142857,2.86,0.0028571428571426694,"Patrick, oğullarının her birine yerel eğlence parkını istedikleri sıklıkta ziyaret edebilmeleri için birer sezonluk giriş kartı satın alır.  Biletlerin her biri 100.00 dolardı.  En büyük oğlu yaz boyunca parka 35 kez, en küçüğü ise 15 kez gitmiştir.  Parka gidiş başına maliyet ne kadardı?","En büyük oğlu için giriş başına maliyet 100 dolar / 35 ziyaret = 2.86 dolardır.

En küçük oğlu için giriş başına maliyet 100 dolar / 15 ziyaret = 6.67 dolardır."
4074,low,1,"15 + 3 = 2 * Candy,",18.0,2.0,16.0,"Calen'in başlangıçta Caleb'den 5 daha fazla kalemi vardı ve Caleb'in Candy'nin iki katından 3 daha az kalemi var.  Calen 10 kalem kaybettiyse ve elinde 10 kalem kaldıysa, Candy'nin kaç kalemi vardır?","Calen'in başlangıçta 10 + 10 = 20 kalemi vardı.

Calen'in başlangıçta Caleb'den 5 daha fazla kalemi olduğuna göre, Caleb’in başlangıçta 20 - 5 = 15 kalemi vardı.

Caleb’in kalem sayısı Candy'nin iki katından üç daha az olduğu için bu, şu denklemi oluşturur:
15 = 2 * Candy - 3.

Bu denklemi çözerek Candy'nin kalem sayısını bulabiliriz.
15 + 3 = 2 * Candy,
18 = 2 * Candy,
Candy = 18 / 2,
Candy = 9.

Candy'nin 9 kalemi vardır."
4159,low,1,- İkinci kutuda (33$ / 99 kontak) = 0.33$ per kontak.,0.3333333333333333,0.33,0.0033333333333332993,"Adrian iki kutu kontak arasında seçim yapmak zorunda.  Birinde 25$'a 50 kontak, diğerinde ise 33$'a 99 kontak vardır. Her bir kontak başına daha az maliyetli olan kutuyu seçer.  Satın almaya karar verdiği kutuda 1$ değerinde kaç kontak olması gerekir?","Her bir kontak başına maliyeti hesaplayalım:
- İlk kutuda (25$ / 50 kontak) = 0.50$ per kontak.
- İkinci kutuda (33$ / 99 kontak) = 0.33$ per kontak.

Kontak başına daha az maliyetli olan kutu ikinci kutudur.

İkinci kutuda 1$ değerinde kaç kontak olduğunu hesaplayalım:
(1$ / 0.33$ per kontak) ≈ 3 kontak.

Adrian, ikinci kutudan satın aldığında her 1$ değerinde yaklaşık 3 kontak alır."
4186,medium,1,- Erkek oy sayısı: 120 * 0.675 = 81,81000.0,81.0,80919.0,"June sınıf başkanlığı için yarışıyor.  Kazanmak için oyların %50'sinden biraz fazlasına ihtiyacı var.  Okulda 200 öğrenci var.  Öğrencilerin %60'ı erkek, geri kalanı ise kız.  Erkeklerin %67,5'inin oyunu alırsa, seçimi kazanmak için alması gereken en küçük kız oy yüzdesi nedir?","Öncelikle toplam 200 öğrencinin %60'ı erkek, geri kalanı kızdır:
- Erkek öğrenci sayısı: 200 * 0.60 = 120
- Kız öğrenci sayısı: 200 * 0.40 = 80

June, erkek öğrencilerin %67.5'inin oyunu alırsa:
- Erkek oy sayısı: 120 * 0.675 = 81

Seçimi kazanmak için June'un alması gereken oy sayısı, 200 oy'un %50'sinden biraz fazlası, yani en az 101 oy:
- Gerekli toplam oy sayısı: 101

June'un şu an sahip olduğu oy sayısı 81 olduğuna göre, kızlardan alması gereken oy sayısı şöyle hesaplanır:
- Kızlardan alması gereken oy sayısı: 101 - 81 = 20

Kız öğrenci sayısı 80 olduğundan, alması gereken en küçük kız oy yüzdesi:
- Gerekli kız oy yüzdesi: (20 / 80) * 100 = 25%

Sonuç olarak, seçimi kazanmak için June'un kız öğrencilerin en az %25'inin oyunu alması gerekir."
4190,medium,2,- Toplam sıvı: 8.05 + 0.447 + 0.5 = 9 ons,455.55,9.0,446.55,"Adonis, şampuanını acı sosla değiştirerek babasına bir şaka yapıyor. Her gün babası duş aldıktan sonra Adonis şampuanın yerine 1/2 ons acı sos koyuyor. Babasının kimsenin kullanmadığı 10 oz'luk yeni bir şişeden günde 1 oz şampuan kullandığını biliyor. 4 gün sonra, şişedeki sıvının yüzde kaçı acı sostur?","Şişede başlangıçta 10 ons şampuan var ve her gün 1 ons şampuan tüketiliyor. Adonis her gün babası duş aldıktan sonra şişeye 1/2 ons acı sos ekliyor.

Her gün, toplam 1 ons sıvı tüketildikten sonra şişenin içeriği şu şekildedir:

Gün 1:
- Şişede kalan şampuan: 10 - 1 = 9 ons
- Eklendi: 1/2 ons acı sos
- Toplam sıvı: 9 + 1/2 = 9.5 ons
- Acı sos oranı (ilk gün sadece 1/2 ons): 1/2 / 9.5 ≈ 0.0526

Gün 2:
- 1 ons sıvı tüketildikten sonra şişede kalan sıvının oranı:
  - Şampuan: 9 * (8.5/9.5) ≈ 8.05 ons
  - Acı sos: (1/2) * (8.5/9.5) ≈ 0.447 ons
- Eklendi: 1/2 ons acı sos
- Toplam sıvı: 8.05 + 0.447 + 0.5 = 9 ons
- Acı sos oranı: (0.447 + 0.5) / 9 ≈ 0.105

Gün 3:
- 1 ons sıvı tüketildikten sonra şişede kalan sıvının oranı:
  - Şampuan: 8.05 * (9 -1)/9 ≈ 7.16 ons
  - Acı sos: 0.947 * (9 - 1) / 9 ≈ 0.842 ons
- Eklendi: 1/2 ons acı sos
- Toplam sıvı: 7.16 + 0.842 + 0.5 = 8.5 ons
- Acı sos oranı: (0.842 + 0.5) / 8.5 ≈ 0.1585

Gün 4:
- 1 ons sıvı tüketildikten sonra şişede kalan sıvının oranı:
  - Şampuan: 7.16 * (8.5 - 1) / 8.5 ≈ 6.08 ons
  - Acı sos: 1.34 * (8.5 - 1) / 8.5 ≈ 1.17 ons
- Eklendi: 1/2 ons acı sos
- Toplam sıvı: 6.08 + 1.17 + 0.5 = 7.75 ons
- Acı sos oranı: (1.17 + 0.5) / 7.75 ≈ 0.2155

Sonuç olarak, 4. günün sonunda şişedeki sıvının yaklaşık %21.55'i acı sostur."
4370,medium,1,Bu durumda 100 + 165 + 50 = 215 dolar kaybetmiştir.,315.0,215.0,100.0,Diane arkadaşlarıyla poker oynamaktadır ve şansı pek yaver gitmemektedir. Oyuna 100 dolarla başlar ve 5 el kazanarak 100 dolarına 65 dolar ekler. Cesaretlenerek daha büyük ve daha riskli bahisler oynamaya başlar ve sonunda tüm parasını kaybederek arkadaşlarına 50 dolar borçlanır. Diane toplamda ne kadar para kaybetmiştir?,"Diane toplamda 215 dolar kaybetmiştir. Başlangıçta 100 doları vardı, buna ek olarak 165 dolar kazandı ve sonunda 50 dolar borçlandı. Bu durumda 100 + 165 + 50 = 215 dolar kaybetmiştir."
